could not get driver version for /dev/input/mouse0, Not a typewriter
add device 1: /dev/input/event0
  name:     "qwerty2"
could not get driver version for /dev/input/mice, Not a typewriter
[    4340.060986] /dev/input/event0: 0003 0001 00000086
[    4340.061001] /dev/input/event0: 0000 0000 00000000
[    4340.076776] /dev/input/event0: 0003 0000 00000216
[    4340.076825] /dev/input/event0: 0000 0000 00000000
[    4340.076861] /dev/input/event0: 0003 0000 0000021a
[    4340.076879] /dev/input/event0: 0000 0000 00000000
[    4340.096826] /dev/input/event0: 0003 0000 0000021c
[    4340.096876] /dev/input/event0: 0000 0000 00000000
[    4340.096911] /dev/input/event0: 0003 0000 00000222
[    4340.096929] /dev/input/event0: 0000 0000 00000000
[    4340.096943] /dev/input/event0: 0003 0000 00000226
[    4340.096959] /dev/input/event0: 0000 0000 00000000
[    4340.112757] /dev/input/event0: 0003 0000 00000229
[    4340.112805] /dev/input/event0: 0000 0000 00000000
[    4340.112840] /dev/input/event0: 0003 0000 0000022d
[    4340.112858] /dev/input/event0: 0000 0000 00000000
[    4340.128744] /dev/input/event0: 0003 0000 00000231
[    4340.128792] /dev/input/event0: 0000 0000 00000000
[    4340.128825] /dev/input/event0: 0003 0000 00000237
[    4340.128843] /dev/input/event0: 0000 0000 00000000
[    4340.144799] /dev/input/event0: 0003 0000 0000023b
[    4340.144839] /dev/input/event0: 0000 0000 00000000
[    4340.144874] /dev/input/event0: 0003 0000 00000240
[    4340.144892] /dev/input/event0: 0000 0000 00000000
[    4340.160758] /dev/input/event0: 0003 0000 00000244
[    4340.160794] /dev/input/event0: 0000 0000 00000000
[    4340.160827] /dev/input/event0: 0003 0000 00000246
[    4340.160846] /dev/input/event0: 0000 0000 00000000
[    4340.176667] /dev/input/event0: 0003 0000 0000024a
[    4340.176713] /dev/input/event0: 0000 0000 00000000
[    4340.176745] /dev/input/event0: 0003 0000 0000024e
[    4340.176764] /dev/input/event0: 0000 0000 00000000
[    4340.192662] /dev/input/event0: 0003 0000 00000250
[    4340.192688] /dev/input/event0: 0003 0001 00000084
[    4340.192711] /dev/input/event0: 0000 0000 00000000
[    4340.192746] /dev/input/event0: 0003 0000 00000252
[    4340.192764] /dev/input/event0: 0000 0000 00000000
[    4340.212257] /dev/input/event0: 0003 0000 00000254
[    4340.212309] /dev/input/event0: 0000 0000 00000000
[    4340.227816] /dev/input/event0: 0003 0000 00000256
[    4340.227870] /dev/input/event0: 0000 0000 00000000
[    4340.261745] /dev/input/event0: 0003 0000 00000258
[    4340.261804] /dev/input/event0: 0000 0000 00000000
[    4340.315899] /dev/input/event0: 0003 0000 00000259
[    4340.315970] /dev/input/event0: 0000 0000 00000000
[    4340.332515] /dev/input/event0: 0003 0000 0000025b
[    4340.332558] /dev/input/event0: 0000 0000 00000000
[    4340.332592] /dev/input/event0: 0003 0000 0000025d
[    4340.332600] /dev/input/event0: 0003 0001 00000082
[    4340.332615] /dev/input/event0: 0000 0000 00000000
[    4340.366531] /dev/input/event0: 0003 0000 0000025f
[    4340.366579] /dev/input/event0: 0000 0000 00000000
[    4340.383472] /dev/input/event0: 0003 0000 00000261
[    4340.383523] /dev/input/event0: 0000 0000 00000000
[    4340.400540] /dev/input/event0: 0003 0000 00000263
[    4340.400582] /dev/input/event0: 0000 0000 00000000
[    4340.748186] /dev/input/event0: 0003 0001 00000084
[    4340.748222] /dev/input/event0: 0000 0000 00000000
[    4340.748261] /dev/input/event0: 0003 0001 00000088
[    4340.748276] /dev/input/event0: 0000 0000 00000000
[    4340.764139] /dev/input/event0: 0003 0001 0000008c
[    4340.764176] /dev/input/event0: 0000 0000 00000000
[    4340.764216] /dev/input/event0: 0003 0001 00000090
[    4340.764231] /dev/input/event0: 0000 0000 00000000
[    4340.780134] /dev/input/event0: 0003 0001 00000094
[    4340.780161] /dev/input/event0: 0000 0000 00000000
[    4340.780195] /dev/input/event0: 0003 0001 00000097
[    4340.780210] /dev/input/event0: 0000 0000 00000000
[    4340.796110] /dev/input/event0: 0003 0001 0000009b
[    4340.796147] /dev/input/event0: 0000 0000 00000000
[    4340.796185] /dev/input/event0: 0003 0001 000000a1
[    4340.796201] /dev/input/event0: 0000 0000 00000000
[    4340.812069] /dev/input/event0: 0003 0001 000000a5
[    4340.812105] /dev/input/event0: 0000 0000 00000000
[    4340.812143] /dev/input/event0: 0003 0001 000000a9
[    4340.812157] /dev/input/event0: 0000 0000 00000000
[    4340.828076] /dev/input/event0: 0003 0001 000000ab
[    4340.828114] /dev/input/event0: 0000 0000 00000000
[    4340.828150] /dev/input/event0: 0003 0001 000000ad
[    4340.828165] /dev/input/event0: 0000 0000 00000000
[    4340.844020] /dev/input/event0: 0003 0001 000000b0
[    4340.844056] /dev/input/event0: 0000 0000 00000000
[    4340.844095] /dev/input/event0: 0003 0001 000000b4
[    4340.844109] /dev/input/event0: 0000 0000 00000000
[    4340.860049] /dev/input/event0: 0003 0001 000000b6
[    4340.860090] /dev/input/event0: 0000 0000 00000000
[    4340.860132] /dev/input/event0: 0003 0001 000000ba
[    4340.860148] /dev/input/event0: 0000 0000 00000000
[    4340.876002] /dev/input/event0: 0003 0001 000000bc
[    4340.876039] /dev/input/event0: 0000 0000 00000000
[    4340.876073] /dev/input/event0: 0003 0001 000000c0
[    4340.876088] /dev/input/event0: 0000 0000 00000000
[    4340.891968] /dev/input/event0: 0003 0001 000000c2
[    4340.892001] /dev/input/event0: 0000 0000 00000000
[    4340.892039] /dev/input/event0: 0003 0001 000000c6
[    4340.892054] /dev/input/event0: 0000 0000 00000000
[    4340.908002] /dev/input/event0: 0003 0001 000000c9
[    4340.908041] /dev/input/event0: 0000 0000 00000000
[    4340.908097] /dev/input/event0: 0003 0001 000000cb
[    4340.908112] /dev/input/event0: 0000 0000 00000000
[    4340.923966] /dev/input/event0: 0003 0001 000000cd
[    4340.924002] /dev/input/event0: 0000 0000 00000000
[    4340.924041] /dev/input/event0: 0003 0001 000000d1
[    4340.924056] /dev/input/event0: 0000 0000 00000000
[    4340.939931] /dev/input/event0: 0003 0001 000000d5
[    4340.939973] /dev/input/event0: 0000 0000 00000000
[    4340.940012] /dev/input/event0: 0003 0001 000000d7
[    4340.940027] /dev/input/event0: 0000 0000 00000000
[    4340.955989] /dev/input/event0: 0003 0001 000000db
[    4340.956019] /dev/input/event0: 0000 0000 00000000
[    4340.956059] /dev/input/event0: 0003 0001 000000df
[    4340.956074] /dev/input/event0: 0000 0000 00000000
[    4340.971907] /dev/input/event0: 0003 0001 000000e1
[    4340.971939] /dev/input/event0: 0000 0000 00000000
[    4340.971973] /dev/input/event0: 0003 0001 000000e4
[    4340.971988] /dev/input/event0: 0000 0000 00000000
[    4340.987871] /dev/input/event0: 0003 0001 000000e6
[    4340.987907] /dev/input/event0: 0000 0000 00000000
[    4340.987944] /dev/input/event0: 0003 0001 000000ea
[    4340.987959] /dev/input/event0: 0000 0000 00000000
[    4341.003840] /dev/input/event0: 0003 0001 000000ee
[    4341.003872] /dev/input/event0: 0000 0000 00000000
[    4341.003910] /dev/input/event0: 0003 0001 000000f2
[    4341.003924] /dev/input/event0: 0000 0000 00000000
[    4341.019856] /dev/input/event0: 0003 0001 000000f6
[    4341.019894] /dev/input/event0: 0000 0000 00000000
[    4341.019933] /dev/input/event0: 0003 0001 000000fa
[    4341.019948] /dev/input/event0: 0000 0000 00000000
[    4341.035851] /dev/input/event0: 0003 0001 000000fd
[    4341.035883] /dev/input/event0: 0000 0000 00000000
[    4341.035919] /dev/input/event0: 0003 0001 00000101
[    4341.035932] /dev/input/event0: 0000 0000 00000000
[    4341.051808] /dev/input/event0: 0003 0001 00000105
[    4341.051841] /dev/input/event0: 0000 0000 00000000
[    4341.051877] /dev/input/event0: 0003 0001 00000107
[    4341.051891] /dev/input/event0: 0000 0000 00000000
[    4341.067862] /dev/input/event0: 0003 0001 0000010b
[    4341.067895] /dev/input/event0: 0000 0000 00000000
[    4341.067936] /dev/input/event0: 0003 0001 0000010f
[    4341.067951] /dev/input/event0: 0000 0000 00000000
[    4341.083810] /dev/input/event0: 0003 0001 00000111
[    4341.083843] /dev/input/event0: 0000 0000 00000000
[    4341.083881] /dev/input/event0: 0003 0001 00000114
[    4341.083896] /dev/input/event0: 0000 0000 00000000
[    4341.102860] /dev/input/event0: 0003 0001 00000116
[    4341.102892] /dev/input/event0: 0000 0000 00000000
[    4341.102932] /dev/input/event0: 0003 0001 0000011a
[    4341.102946] /dev/input/event0: 0000 0000 00000000
[    4341.102964] /dev/input/event0: 0003 0001 0000011c
[    4341.102987] /dev/input/event0: 0000 0000 00000000
[    4341.118712] /dev/input/event0: 0003 0000 00000265
[    4341.118739] /dev/input/event0: 0003 0001 00000120
[    4341.118762] /dev/input/event0: 0000 0000 00000000
[    4341.118797] /dev/input/event0: 0003 0001 00000122
[    4341.118811] /dev/input/event0: 0000 0000 00000000
[    4341.134783] /dev/input/event0: 0003 0001 00000126
